main_category,main_link,sub_category,sub_category_id,sub_category_link
Public & Local Services,https://example.com/c/public_local_services,Military & Veteran,military_veteran,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/military_veteran.json
Public & Local Services,https://example.com/c/public_local_services,Nature & Environment,nature_environment,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/nature_environment.json
Public & Local Services,https://example.com/c/public_local_services,Professional Organizations,professional_organizations,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/professional_organizations.json
Public & Local Services,https://example.com/c/public_local_services,Public Services & Welfare,public_services_welfare,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/public_services_welfare.json
Public & Local Services,https://example.com/c/public_local_services,Religious Institutions,religious_institutions,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/religious_institutions.json
Public & Local Services,https://example.com/c/public_local_services,Shelters & Homes,shelters_homes,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/shelters_homes.json
Public & Local Services,https://example.com/c/public_local_services,Waste Management,waste_management,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/waste_management.json
Restaurants & Bars,https://example.com/c/restaurants_bars,African & Pacific Cuisine,african_pacific_cuisine,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/african_pacific_cuisine.json
Restaurants & Bars,https://example.com/c/restaurants_bars,Bars & Cafes,bars_cafes,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/bars_cafes.json
Restaurants & Bars,https://example.com/c/restaurants_bars,Chinese & Korean Cuisine,chinese_korean_cuisine,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/chinese_korean_cuisine.json
Restaurants & Bars,https://example.com/c/restaurants_bars,European Cuisine,european_cuisine,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/european_cuisine.json
Restaurants & Bars,https://example.com/c/restaurants_bars,General Restaurants,general_restaurants,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/general_restaurants.json
Restaurants & Bars,https://example.com/c/restaurants_bars,Japanese Cuisine,japanese_cuisine,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/japanese_cuisine.json
Restaurants & Bars,https://example.com/c/restaurants_bars,Mediterranean Cuisine,mediterranean_cuisine,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/mediterranean_cuisine.json
Restaurants & Bars,https://example.com/c/restaurants_bars,Middle Eastern Cuisine,middle_eastern_cuisine,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/middle_eastern_cuisine.json
Restaurants & Bars,https://example.com/c/restaurants_bars,North & South American Cuisine,north_south_american_cuisine,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/north_south_american_cuisine.json
Restaurants & Bars,https://example.com/c/restaurants_bars,Southeast Asian Cuisine,southeast_asian_cuisine,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/southeast_asian_cuisine.json
Restaurants & Bars,https://example.com/c/restaurants_bars,Takeaway,takeaway,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/takeaway.json
Restaurants & Bars,https://example.com/c/restaurants_bars,Vegetarian & Diet,vegetarian_diet,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/vegetarian_diet.json
Shopping & Fashion,https://example.com/c/shopping_fashion,Accessories,accessories,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/accessories.json
Shopping & Fashion,https://example.com/c/shopping_fashion,Clothing & Underwear,clothing_underwear,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/clothing_underwear.json
Shopping & Fashion,https://example.com/c/shopping_fashion,Clothing Rental & Repair,clothing_rental_repair,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/clothing_rental_repair.json
Shopping & Fashion,https://example.com/c/shopping_fashion,Costume & Wedding,costume_wedding,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/costume_wedding.json
Shopping & Fashion,https://example.com/c/shopping_fashion,Jewelry & Watches,jewelry_watches,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/jewelry_watches.json
Shopping & Fashion,https://example.com/c/shopping_fashion,Malls & Marketplaces,malls_marketplaces,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/malls_marketplaces.json
Sports,https://example.com/c/sports,Ball Games,ball_games,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/ball_games.json
Sports,https://example.com/c/sports,Bat-and-ball Games,bat-and-ball_games,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/bat-and-ball_games.json
Sports,https://example.com/c/sports,Bowls & Lawn Sports,bowls_lawn_sports,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/bowls_lawn_sports.json
Sports,https://example.com/c/sports,Dancing & Gymnastics,dancing_gymnastics,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/dancing_gymnastics.json
Sports,https://example.com/c/sports,Equipment & Associations,equipment_associations,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/equipment_associations.json
